Price,Property_Type,Building_Age,Tenure,Month,Latitude,Longitude
72500,T,N,F,4,54.5575,-0.9597
110000,S,N,F,3,53.0079,-2.1951
261000,F,N,L,3,50.8005,-1.1029
135000,F,N,F,5,51.91,0.9163
370000,S,N,F,8,52.4332,-1.5664
1375000,O,N,F,7,52.8151,-2.1186
425000,T,N,F,3,51.5307,-0.2492
710000,S,N,F,1,51.3854,-1.0556
265000,S,N,F,9,50.8532,0.4782
499999,F,N,L,6,51.492,-0.1713
576050,S,N,F,6,51.4669,-2.5915
310000,D,N,F,6,52.7626,-2.3867
225000,T,N,F,3,51.2376,0.5499
303000,D,N,F,9,53.7106,-1.3561
610000,F,N,L,9,51.4525,-0.0724
340000,S,N,F,1,50.799,-0.0187
630000,D,N,F,6,50.1524,-5.5771
304950,F,Y,L,6,52.4735,-1.9165
255000,F,N,L,9,51.5437,-0.2833
470000,F,N,L,4,51.4899,-0.2086
590000,T,N,F,2,51.3663,-0.0864
210000,T,N,F,10,51.6321,-1.7201
350000,D,N,F,4,50.7296,-0.7852
165000,S,N,F,6,53.2053,-0.1039
425000,T,N,F,6,51.4354,0.3583
105000,S,N,L,3,52.5492,-2.0432
210000,T,N,F,6,52.6341,-1.0968
239950,D,N,F,9,52.4529,-2.0901
140000,D,N,F,1,54.6184,-1.2876
250000,S,N,F,7,53.4264,-2.89
185000,S,N,L,2,53.3615,-1.3037
690000,F,N,L,3,50.7223,-1.8251
133000,T,N,F,7,53.5251,-2.6501
247122,F,Y,L,5,51.5122,-0.3077
707500,D,N,F,2,51.5029,-0.5323
158000,F,N,L,6,53.7899,-1.548
115000,F,N,L,1,51.5342,-0.4299
384995,F,Y,L,1,51.5196,0.046
182000,T,N,F,9,52.0534,1.184
480000,D,N,F,1,50.7445,-1.9018
205000,D,N,F,3,53.5316,-1.2912
185000,S,N,F,2,53.6235,-2.2003
1200000,D,N,F,3,50.8552,-1.303
208000,T,N,F,2,53.2565,-2.1189
303000,D,N,F,7,54.8449,-1.3466
322500,S,N,F,1,51.873,0.5522
155000,T,N,F,12,55.7725,-2.0068
60000,T,N,F,8,53.4309,-2.9452
360000,T,N,F,6,52.0294,-0.4947
77500,T,N,F,10,53.5848,-1.0172
529995,D,Y,F,3,51.8531,0.5851
257000,S,N,F,3,51.5884,-1.4371
280000,D,N,F,6,53.5689,-2.3648
340000,D,N,F,8,53.1506,-0.9927
450000,D,N,F,3,53.272,-0.404
133000,F,N,L,6,50.7421,-1.8643
510000,D,N,F,3,51.5749,-2.2128
350000,T,N,F,1,53.4161,-2.0705
385000,F,N,L,6,51.5274,-0.046
115000,S,N,F,5,53.5172,-1.3103
728955,F,Y,L,3,51.4994,0.0255
262000,S,N,F,7,53.2449,-1.459
50000,F,N,L,1,50.3734,-4.1349
215000,S,N,F,3,52.1156,-2.0843
320000,D,N,F,4,51.6378,-1.2139
263150,T,Y,F,1,51.2222,-1.464
515000,S,N,F,5,51.8075,-0.292
680000,D,N,F,1,51.4821,-0.9876
136500,O,N,F,1,53.2076,-0.1144
210000,D,N,F,6,53.7074,-1.5025
592000,T,N,F,6,51.4142,-0.1417
379950,T,N,F,8,51.402,-0.3816
700000,T,N,F,3,51.4865,0.0027
82000,F,N,L,7,51.5272,-2.5779
435000,D,N,F,1,53.0557,-0.9217
200000,F,N,L,5,51.74,-2.2052
230000,O,N,F,8,53.1295,-1.1899
445000,D,N,F,5,51.9202,-0.6845
270000,F,N,L,9,51.4134,0.014
336650,S,N,F,9,53.3318,-1.9887
139950,T,N,F,7,53.6195,-1.803
717000,T,N,F,7,51.4864,0.0463
